1.492209,1.904710,Iris-setosa
1.257656,1.608414,Iris-setosa
1.348751,1.749846,Iris-setosa
1.180249,1.639191,Iris-setosa
1.510433,1.962712,Iris-setosa
1.401838,2.220125,Iris-setosa
1.279662,1.918022,Iris-setosa
1.378356,1.819483,Iris-setosa
1.116486,1.545023,Iris-setosa
1.313100,1.565182,Iris-setosa
1.576463,1.999776,Iris-setosa
1.282726,1.792258,Iris-setosa
1.308543,1.530813,Iris-setosa
1.370033,1.602608,Iris-setosa
1.938514,2.256354,Iris-setosa
1.766179,2.568176,Iris-setosa
1.620431,2.321839,Iris-setosa
1.420831,1.981413,Iris-setosa
1.495975,2.087216,Iris-setosa
1.482326,2.132684,Iris-setosa
1.351023,1.772219,Iris-setosa
1.372233,2.150488,Iris-setosa
1.647062,2.060834,Iris-setosa
1.036700,1.940734,Iris-setosa
1.118781,1.715972,Iris-setosa
1.168850,1.558455,Iris-setosa
1.180950,1.947461,Iris-setosa
1.458052,1.880180,Iris-setosa
1.473986,1.846709,Iris-setosa
1.184806,1.673560,Iris-setosa
1.166583,1.615559,Iris-setosa
1.317563,1.976483,Iris-setosa
1.761717,2.156876,Iris-setosa
1.845173,2.320602,Iris-setosa
1.313100,1.565182,Iris-setosa
1.464872,1.777970,Iris-setosa
1.628821,1.933732,Iris-setosa
1.313100,1.565182,Iris-setosa
1.209849,1.629352,Iris-setosa
1.398847,1.820382,Iris-setosa
1.454988,2.005944,Iris-setosa
0.887961,1.294654,Iris-setosa
1.287278,1.747152,Iris-setosa
1.076908,2.159768,Iris-setosa
1.192354,2.107673,Iris-setosa
1.165786,1.684219,Iris-setosa
1.499056,2.030552,Iris-setosa
1.273611,1.723519,Iris-setosa
1.555972,1.998878,Iris-setosa
1.394290,1.786012,Iris-setosa
-0.894539,1.826370,Iris-versicolor
-0.979567,1.948541,Iris-versicolor
-1.134419,1.792418,Iris-versicolor
-1.096416,1.384095,Iris-versicolor
-1.168581,1.688411,Iris-versicolor
-1.135104,1.553248,Iris-versicolor
-1.142018,2.032389,Iris-versicolor
-0.583975,1.385497,Iris-versicolor
-0.966619,1.594803,Iris-versicolor
-1.019762,1.719132,Iris-versicolor
-0.827637,1.099938,Iris-versicolor
-0.995505,1.902536,Iris-versicolor
-0.818540,1.099577,Iris-versicolor
-1.195100,1.641586,Iris-versicolor
-0.625046,1.840107,Iris-versicolor
-0.830781,1.841061,Iris-versicolor
-1.220923,1.823556,Iris-versicolor
-0.720599,1.366851,Iris-versicolor
-1.407692,1.357746,Iris-versicolor
-0.801091,1.374815,Iris-versicolor
-1.460102,2.097874,Iris-versicolor
-0.779899,1.683984,Iris-versicolor
-1.489651,1.433629,Iris-versicolor
-1.091058,1.429280,Iris-versicolor
-0.843656,1.669293,Iris-versicolor
-0.889986,1.781263,Iris-versicolor
-1.145026,1.563546,Iris-versicolor
-1.411520,1.859699,Iris-versicolor
-1.177673,1.768249,Iris-versicolor
-0.451915,1.459625,Iris-versicolor
-0.805648,1.340446,Iris-versicolor
-0.679622,1.289171,Iris-versicolor
-0.754059,1.571115,Iris-versicolor
-1.654370,1.574580,Iris-versicolor
-1.261905,1.821759,Iris-versicolor
-1.055480,2.139451,Iris-versicolor
-1.066104,1.841479,Iris-versicolor
-1.151081,1.289566,Iris-versicolor
-0.859573,1.771864,Iris-versicolor
-1.018987,1.501895,Iris-versicolor
-1.127488,1.382377,Iris-versicolor
-1.101738,1.725915,Iris-versicolor
-0.847422,1.486786,Iris-versicolor
-0.602198,1.327495,Iris-versicolor
-1.030364,1.569736,Iris-versicolor
-0.822352,1.670630,Iris-versicolor
-0.932445,1.688434,Iris-versicolor
-0.884638,1.667496,Iris-versicolor
-0.411712,1.599182,Iris-versicolor
-0.916511,1.654962,Iris-versicolor
-2.494852,2.392145,Iris-virginica
-1.909487,1.802893,Iris-virginica
-2.106904,1.941247,Iris-virginica
-1.931466,1.721338,Iris-virginica
-2.246581,2.037990,Iris-virginica
