-0.682868,0.236000,-1.809595,-0.773143,Iris-setosa
-0.575531,0.198904,-1.525153,-0.651616,Iris-setosa
-0.617218,0.213311,-1.635624,-0.698814,Iris-setosa
-0.540108,0.186662,-1.431282,-0.611510,Iris-setosa
-0.691208,0.238882,-1.831695,-0.782585,Iris-setosa
-0.641512,0.221707,-1.700002,-0.726320,Iris-setosa
-0.585602,0.202385,-1.551840,-0.663018,Iris-setosa
-0.630766,0.217994,-1.671526,-0.714153,Iris-setosa
-0.510929,0.176578,-1.353958,-0.578474,Iris-setosa
-0.600904,0.207673,-1.592391,-0.680343,Iris-setosa
-0.721424,0.249325,-1.911769,-0.816797,Iris-setosa
-0.587004,0.202869,-1.555555,-0.664606,Iris-setosa
-0.598818,0.206952,-1.586864,-0.677982,Iris-setosa
-0.626958,0.216677,-1.661433,-0.709841,Iris-setosa
-0.887107,0.306585,-2.350827,-1.004383,Iris-setosa
-0.808243,0.279330,-2.141837,-0.915092,Iris-setosa
-0.741545,0.256279,-1.965089,-0.839577,Iris-setosa
-0.650204,0.224711,-1.723035,-0.736161,Iris-setosa
-0.684591,0.236596,-1.814162,-0.775094,Iris-setosa
-0.678345,0.234437,-1.797609,-0.768022,Iris-setosa
-0.618258,0.213671,-1.638380,-0.699992,Iris-setosa
-0.627964,0.217025,-1.664100,-0.710981,Iris-setosa
-0.753732,0.260491,-1.997384,-0.853375,Iris-setosa
-0.474417,0.163959,-1.257202,-0.537135,Iris-setosa
-0.511979,0.176941,-1.356741,-0.579663,Iris-setosa
-0.534892,0.184859,-1.417459,-0.605604,Iris-setosa
-0.540429,0.186773,-1.432133,-0.611874,Iris-setosa
-0.667237,0.230598,-1.768173,-0.755446,Iris-setosa
-0.674529,0.233118,-1.787496,-0.763701,Iris-setosa
-0.542194,0.187383,-1.436809,-0.613871,Iris-setosa
-0.533854,0.184501,-1.414709,-0.604430,Iris-setosa
-0.602946,0.208379,-1.597802,-0.682655,Iris-setosa
-0.806201,0.278624,-2.136426,-0.912780,Iris-setosa
-0.844392,0.291823,-2.237633,-0.956021,Iris-setosa
-0.600904,0.207673,-1.592391,-0.680343,Iris-setosa
-0.670358,0.231677,-1.776443,-0.758979,Iris-setosa
